,SubID,Handedness,Eye_Dominance,Thal,Caud,Puta,Pall,Hipp,Amyg,Accu,Landmark_PSE,Landmark_MS,Target_PSE_Right,Target_PSE_Left,Target_PSE_Laterality,Target_MS,Target_MS_Right_Cue,Target_MS_Left_Cue,Target_MS_Laterality,Right_Correct_pct,Left_Correct_pct,Threshold_Difference,1-THALAMUS,2-AV,4-VA,5-VLa,6-VLP,7-VPL,8-Pul,9-LGN,10-MGN,11-CM,12-MD-Pf,13-Hb,14-MTT
34,1035,100,1.0,0.011060259,-0.043944813,-0.018542137,-0.044512027,0.011595023,0.228540186,-0.080291971,-0.785184676,0.0511363636363636,3.611864056,28.59591821,,-0.172073393,-0.123504762,-0.21721438,0.093709618,0.539961014,0.482142857,,0.010550996,0.046666667,-0.004098361,0.0,-0.016973126,0.013435701,0.038913363,0.042553191,0.089655172,-0.009174312,0.011535049,0.0,-0.05
35,1036,90,1.0,-0.037082474,0.047596154,0.053765355,0.036014967,-0.070518713,-0.239948947,-0.062166963,-0.075602632,-0.327272727272727,-1.541728252,-1.619514711,,-0.53105661,-0.509155807,-0.566506293,0.057350486,0.835443038,0.836065574,,-0.001671799,0.038869258,0.094771242,0.012048193,0.030593881,-0.009202454,-0.010919338,0.070175439,-0.06122449,0.026737968,0.014218009,-0.132075472,-0.08045977
36,1037,100,0.0,-0.018272316,0.010594717,-0.020915033,0.0,0.001651982,0.146990201,-0.164285714,-0.299664865,-0.0258531540847983,-2.42411514,-2.102734896,-0.321380244,0.188072948,0.735931752,-0.366247308,1.10217906,0.860529986,0.793584379,0.066945607,0.002543143,-0.035714286,-0.018939394,-0.012195122,-0.018181818,0.001626016,0.014326648,-0.1,0.044117647,-0.125628141,0.023961661,-0.024390244,0.0
37,1038,80,1.0,0.027040816,0.001449466,-0.036591191,-0.040618956,0.112191473,-0.008572493,-0.05645933,-0.592729924,-0.0606585788561525,-1.529555331,-2.066340956,0.536785625,0.113793964,0.158650844,0.063628105,0.095022739,0.756995582,0.801169591,-0.044174009,0.015756943,0.088709677,-0.035413153,-0.034482759,-0.002816901,-0.039187228,0.045756458,0.098039216,0.051851852,0.019607843,0.008166295,0.12195122,-0.037037037
38,1039,70,1.0,-0.024003959,0.02224482,0.016644268,0.014644351,0.017076846,0.052664775,0.058152794,0.36383305,-0.645669291338583,-0.551937294,-0.498633229,-0.053304065,0.224461774,0.361115602,0.063098917,0.298016685,0.657738095,0.619402985,0.03833511,0.01568522,0.137931034,-0.001808318,0.022727273,-0.005870841,-0.018549747,-0.001039141,0.076190476,0.074626866,0.049180328,0.020164302,-0.111111111,-0.11827957
39,1040,70,,-0.011833455,0.014939309,-0.021521103,0.009204471,0.005238737,0.058260176,-0.042410714,-0.451779724,-0.0625,3.910237037,1.29910254,,0.079945017,-0.033304412,0.215041591,-0.248346003,0.556748466,0.589665653,,0.019539996,0.027667984,0.003875969,0.092198582,-0.006498195,-0.03030303,0.023740108,0.045977011,0.031746032,0.126903553,0.004413063,0.0,-0.012658228
40,1041,100,1.0,0.003086039,-0.021203928,-0.035127479,-0.033975085,-0.012420023,0.045286817,-0.028518859,-0.12805136,0.103896103896104,-1.815288933,-1.540305531,-0.274983402,0.147875502,0.382156229,-0.135183117,0.517339346,0.784172662,0.740849195,0.043323467,0.014542021,0.115044248,0.057034221,0.033112583,0.052998605,0.017142857,-0.000747943,-0.009009009,-0.048275862,0.00990099,0.024960998,-0.263157895,0.082352941
41,1042,100,1.0,-0.029162747,0.029016747,-0.004340921,0.020970641,-0.001647899,0.049881235,-0.181556196,-0.903184001,-0.352272727272727,0.064606367,27414755.2,,0.002104508,-0.051990698,0.057008866,-0.108999564,0.73149492,0.671532847,,-0.003229483,0.043062201,-0.001869159,0.014705882,0.018607857,0.005309735,0.004563005,0.041666667,0.025210084,0.0,-0.042232278,-0.081081081,0.13253012
42,1043,75,1.0,0.006654112,-0.022769231,-0.055161114,-0.037569061,0.059586864,-0.077328068,0.019296254,-0.919478813,0.213114754098361,1.948197757,2.053306203,,0.270457732,0.205613024,0.334552931,-0.128939907,0.518581081,0.524064171,,0.01042502,0.095652174,0.023904382,0.011494253,0.020535159,0.042789223,-0.002103787,0.045454545,-0.014084507,0.01754386,0.004504505,0.041666667,0.04
43,1044,75,1.0,-0.017014945,0.018931298,-0.015172125,-0.019474498,0.032566218,-0.075253763,-0.113168724,0.087554827,0.25,-1.046244182,-1.013522781,-0.032721401,0.334662887,0.562910723,0.111540384,0.451370339,0.687776141,0.652110626,0.035665515,0.014060258,0.024911032,0.007575758,-0.1125,0.000662691,0.073005093,0.024521073,-0.071428571,0.069767442,0.081339713,0.064957265,-0.157894737,0.1
44,1045,65,1.0,-0.014536805,0.018580645,-0.024614769,-0.002663825,-0.006909548,-0.115994236,0.00270027,-0.76056549,-0.0310262529832936,47.26326608,11.1670021,,0.265480646,0.210709414,0.323802411,-0.113092997,0.480487805,0.479115479,,65.0,0.76056549,,,,,,,,,,,
